			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
R	1	1	21.10288	0.020	21.10288	0.000	21.10288	0.000	21.10288	0.000	22.18029	22.18029	22.18029	22.29207	22.18029
R	1	2	22.08822	0.010	22.08822	0.000	19.13782	0.000	19.80212	0.000	23.03078	23.03078	23.03078	23.16422	23.03078
R	1	3	58.12772	0.005	58.08142	0.000	69.06707	0.000	69.06707	0.000	69.06760	69.06760	69.06760	69.21826	69.06760
R	1	4	67.03954	0.010	67.03954	0.000	67.03954	0.000	69.04978	0.000	73.03599	73.03599	73.03599	76.09607	73.03599
R	1	5	74.06619	0.030	71.06715	0.000	71.06715	0.000	67.06715	0.000	77.07353	77.07353	77.07353	79.22147	77.07353
R	1	6	70.08919	0.015	74.10429	0.000	74.07794	0.000	72.10165	0.000	76.08359	76.08359	76.08359	78.11841	76.08359
R	1	7	52.05537	0.010	52.04790	0.000	53.02852	0.000	52.08458	0.005	54.01811	54.01811	54.01811	55.16914	54.01811
R	1	8	79.08361	0.005	79.03816	0.000	79.05631	0.005	75.11214	0.000	80.02517	80.02517	80.02517	84.10484	80.02517
R	1	9	70.13874	0.015	80.08355	0.000	70.09190	0.000	72.14839	0.000	84.02657	84.02657	84.02657	84.14778	84.03615
R	1	10	72.10637	0.005	73.06425	0.000	73.06101	0.000	71.03983	0.000	77.01186	77.01186	77.01186	79.11126	77.01186
R	1	11	73.02190	0.005	73.02190	0.000	73.02190	0.000	72.06996	0.000	74.00677	74.00677	74.00677	77.11573	74.00677
R	1	12	92.02552	0.005	87.04086	0.005	85.10136	0.000	86.07774	0.000	92.03622	92.03622	92.03622	97.06684	92.03622
R	1	13	69.15563	0.020	75.03680	0.000	75.03680	0.000	72.07342	0.000	75.04811	75.04811	75.04811	77.13526	75.04811
R	1	14	62.08452	0.020	61.09612	0.000	61.09117	0.000	61.09612	0.000	63.05219	63.05219	63.05219	64.17685	63.05219
R	1	15	63.10112	0.000	63.10112	0.000	63.10112	0.000	63.10026	0.000	63.10112	63.10112	63.10112	65.15675	63.10112
R	1	16	32.15403	0.010	32.15403	0.000	30.66383	0.000	35.13736	0.000	37.09374	37.09374	37.09374	38.21972	37.09374
R	1	17	62.15861	0.005	64.16451	0.000	67.12704	0.000	67.11963	0.000	67.12704	67.12704	67.12704	68.18299	67.12704
R	1	18	67.07145	0.010	67.07145	0.000	66.12826	0.000	63.09723	0.000	70.09321	70.09321	70.09321	76.12598	70.09321
R	1	19	49.09371	0.005	49.09371	0.000	49.09371	0.000	51.10398	0.000	53.10351	53.10351	53.10351	54.27306	53.10351
R	1	20	63.05395	0.000	63.05395	0.000	63.05395	0.000	63.08206	0.000	65.02993	65.02993	65.02993	70.16623	65.02993
C	1	1	58.13152	0.020	58.13152	0.000	58.13152	0.000	56.14533	0.000	61.13919	61.13919	61.13919	61.25097	61.13919
C	1	2	81.04892	0.015	80.10574	0.000	75.12706	0.000	82.04892	0.000	82.08919	82.08919	82.08919	83.21235	82.08919
C	1	3	25.03392	0.020	25.02958	0.000	25.02958	0.000	26.02015	0.000	27.51260	27.51260	27.51260	28.12397	27.51260
C	1	4	75.12634	0.010	75.04747	0.000	75.04747	0.000	76.06062	0.000	77.05796	77.05796	77.05796	79.08257	77.05796
C	1	5	76.05456	0.005	81.01957	0.000	80.08287	0.000	80.07561	0.005	81.04446	81.04446	81.04446	83.16733	81.04446
C	1	6	85.01403	0.005	85.01403	0.000	85.01403	0.000	77.11295	0.000	89.03408	89.03408	89.03408	91.10952	89.03408
C	1	7	60.03145	0.015	59.05322	0.000	59.05322	0.000	58.03078	0.000	61.05600	61.05600	61.05600	63.13590	61.05600
C	1	8	37.51820	0.005	37.03463	0.000	37.04561	0.000	37.04895	0.000	40.01027	40.01027	40.01027	40.13950	40.01027
C	1	9	88.08305	0.040	77.23068	0.000	77.22924	0.000	77.22924	0.000	89.07119	89.07119	89.07119	89.21355	89.07119
C	1	10	46.12124	0.005	44.11928	0.005	46.07521	0.000	43.69109	0.000	48.02199	48.02199	48.02199	48.11761	48.02199
C	1	11	72.02979	0.005	69.09512	0.000	72.03773	0.000	72.03378	0.000	74.03498	74.03498	74.03498	77.07737	74.03498
C	1	12	81.04228	0.005	81.03824	0.000	77.08085	0.000	78.04870	0.000	82.00671	82.00671	82.00671	84.08698	82.00671
C	1	13	36.55029	0.005	34.06986	0.000	34.06986	0.000	34.59926	0.000	36.57808	36.57808	36.57808	37.64153	36.57808
C	1	14	66.01788	0.010	68.09523	0.000	68.10024	0.000	62.13459	0.000	69.04375	69.04375	69.04375	69.15978	69.04375
C	1	15	57.07705	0.010	58.09115	0.000	58.09115	0.000	57.10399	0.000	62.03716	62.03716	62.03716	65.20373	62.03716
C	1	16	68.13831	0.010	65.12235	0.000	65.12235	0.000	67.16649	0.000	76.03312	76.03312	76.03312	76.20733	76.03312
